11	4.539523e-04	6.958405e+00
21	2.192387e-06	6.966272e+00
31	4.601181e-08	6.969160e+00
41	1.394639e-09	6.975115e+00
51	3.686906e-11	6.977265e+00
61	1.012190e-12	6.977973e+00
71	2.747802e-14	6.978065e+00
81	1.332268e-15	6.977877e+00
91	1.110223e-15	6.977563e+00
101	1.110223e-15	6.977196e+00
111	1.110223e-15	6.976812e+00
121	9.992007e-16	6.977261e+00
131	1.110223e-15	6.977684e+00
141	1.554312e-15	6.977928e+00
151	1.443290e-15	6.978046e+00
161	1.554312e-15	6.978077e+00
171	1.110223e-15	6.978044e+00
181	1.332268e-15	6.977967e+00
